ANO_SAEB;CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;TX_ALFABETIZADO;MEDIA_2_LP;MEDIA_2_MT
2021;16;Amapá;Total - Estadual e Municipal;Total;Total;18,78;687,45;716,31
2021;16;Amapá;Total - Estadual e Municipal;Total;Capital;19,93;694,1;731,4
2021;16;Amapá;Total - Estadual e Municipal;Total;Interior;17,31;678,98;697,09
2021;16;Amapá;Total - Estadual e Municipal;Urbana;Total;19,58;689,67;715,87
2021;16;Amapá;Total - Estadual e Municipal;Urbana;Capital;20,89;696,42;731,67
2021;16;Amapá;Total - Estadual e Municipal;Urbana;Interior;17,81;680,53;694,5
2021;16;Amapá;Total - Estadual e Municipal;Rural;Total;14,59;675,95;718,59
2021;16;Amapá;Total - Estadual e Municipal;Rural;Capital;13,98;679,78;729,77
2021;16;Amapá;Total - Estadual e Municipal;Rural;Interior;15,16;672,36;708,14
2021;16;Amapá;Total - Federal, Estadual e Municipal;Total;Total;18,78;687,45;716,31
2021;16;Amapá;Total - Federal, Estadual e Municipal;Total;Capital;19,93;694,1;731,4
2021;16;Amapá;Total - Federal, Estadual e Municipal;Total;Interior;17,31;678,98;697,09
2021;16;Amapá;Total - Federal, Estadual e Municipal;Urbana;Total;19,58;689,67;715,87
2021;16;Amapá;Total - Federal, Estadual e Municipal;Urbana;Capital;20,89;696,42;731,67
2021;16;Amapá;Total - Federal, Estadual e Municipal;Urbana;Interior;17,81;680,53;694,5
2021;16;Amapá;Total - Federal, Estadual e Municipal;Rural;Total;14,59;675,95;718,59
2021;16;Amapá;Total - Federal, Estadual e Municipal;Rural;Capital;13,98;679,78;729,77
2021;16;Amapá;Total - Federal, Estadual e Municipal;Rural;Interior;15,16;672,36;708,14
2021;13;Amazonas;Total - Federal, Estadual, Municipal e Privada;Total;Total;33,86;713,45;730,92
2021;13;Amazonas;Total - Federal, Estadual, Municipal e Privada;Total;Capital;44,83;728,65;737,57
2021;13;Amazonas;Total - Federal, Estadual, Municipal e Privada;Total;Interior;19,73;693,89;722,36
2021;13;Amazonas;Total - Federal, Estadual, Municipal e Privada;Urbana;Total;34,84;715,19;732,4
