ID;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
Brasil;Municipal;Rural;Total;187,76;202,41;237,2;240,23;245,83;249,03;9,21;16,75;18,56;17,27;14,76;11,16;6,98;3,46;1,57;0,3;2,68;10,47;18,65;20,79;17,46;13,05;8,63;4,88;2,26;1,09;0,04;23,75;17,86;18,82;17,04;12,28;6,83;2,68;0,7;0,03;22,59;16,72;18,82;17,34;12,8;7,1;3;1,18;0,44;0;36,2;20,53;17,72;11,21;9,35;3,71;0,98;0,31;0;35,98;17,24;15,22;12,82;10,53;5,39;2,4;0,42;0;0;0
Brasil;Municipal;Total;Capital;211,09;222,29;255,49;255,55;260,75;257,61;3,2;7,84;13,04;17,32;19,27;17,57;12,31;6,27;2,74;0,44;0,86;3,76;10,33;17,59;21,13;19,45;14,12;8,05;3,44;1,23;0,04;15,39;12,05;16,08;18,69;17,86;12,48;5,83;1,58;0,05;13,39;13,02;17,63;20,21;18,18;10,95;4,56;1,52;0,55;0;27,08;14;17,59;16,77;13,81;7,64;2,3;0,81;0;27,74;17,6;14,66;18,87;10,26;7,7;2,95;0,21;0;0;0
Brasil;Municipal;Total;Interior;206,71;220,42;249,92;252,03;289,01;291,22;4,79;10,03;14,04;16,74;17,65;15,75;11,41;6,17;2,93;0,5;1,34;5,59;12,15;17,22;18,75;17,22;13,26;8,47;4,14;1,81;0,06;17,29;14,42;17,41;18,53;15,77;10,37;4,8;1,36;0,04;16,07;13,9;17,84;18,83;16,46;10,2;4,4;1,69;0,62;0;14,56;9,35;13,34;15,42;18,38;17,55;9,03;2,29;0,08;13,42;9,82;12,96;17,66;16,85;15,19;8,85;3,53;1,34;0,37;0
Brasil;Municipal;Total;Total;207,35;220,7;250,84;252,61;285,29;286,81;4,56;9,71;13,9;16,82;17,89;16,02;11,54;6,18;2,9;0,49;1,27;5,32;11,88;17,27;19,1;17,55;13,38;8,41;4,03;1,73;0,06;16,97;14,03;17,19;18,56;16,11;10,72;4,97;1,4;0,04;15,63;13,75;17,8;19,05;16,75;10,33;4,43;1,66;0,6;0;16,2;9,96;13,9;15,6;17,78;16,25;8,15;2,1;0,07;15,31;10,84;13,18;17,82;15,99;14,21;8,07;3,1;1,17;0,32;0
Brasil;Municipal;Urbana;Capital;211,32;222,48;255,62;255,62;260,75;257,61;3,18;7,77;12,95;17,26;19,29;17,64;12,38;6,31;2,76;0,45;0,85;3,71;10,27;17,49;21,15;19,53;14,19;8,09;3,45;1,23;0,04;15,37;12;16,02;18,69;17,87;12,53;5,88;1,59;0,05;13,33;12,97;17,63;20,26;18,26;10,96;4,55;1,51;0,54;0;27,08;14;17,59;16,77;13,81;7,64;2,3;0,81;0;27,74;17,6;14,66;18,87;10,26;7,7;2,95;0,21;0;0;0
Brasil;Municipal;Urbana;Interior;210,67;224,18;253,72;255,55;294;296,1;3,86;8,61;13,1;16,64;18,26;16,71;12,33;6,73;3,21;0,54;1,05;4,56;10,79;16,48;19,03;18,1;14,22;9,22;4,53;1,96;0,07;15,35;13,4;17;18,98;16,81;11,43;5,42;1,56;0,05;14,12;13,06;17,55;19,26;17,54;11,13;4,82;1,85;0,67;0;12,06;8,06;12,84;15,91;19,42;19,15;9,96;2,52;0,09;10,82;8,96;12,7;18,22;17,58;16,32;9,59;3,9;1,5;0,41;0
Brasil;Municipal;Urbana;Total;210,78;223,9;254,1;255,57;289,2;290,54;3,75;8,47;13,08;16,74;18,43;16,87;12,34;6,66;3,13;0,52;1,02;4,42;10,7;16,65;19,38;18,34;14,22;9,03;4,35;1,84;0,06;15,36;13,12;16,8;18,92;17,02;11,65;5,51;1,56;0,05;13,96;13,04;17,56;19,46;17,69;11,1;4,77;1,78;0,64;0;14,23;8,92;13,52;16,03;18,61;17,49;8,86;2,27;0,07;13,26;10,21;12,98;18,31;16,53;15,08;8,64;3,36;1,28;0,35;0
Brasil;Privada;Rural;Capital;217,41;221,92;280,77;279,26;313,98;308,87;3,47;2,64;14,84;11,97;22,66;21,08;13,41;8,13;1,2;0,6;0;2,86;11;23,2;15,36;17,39;17,02;9,34;3,84;0;0;3,1;4,71;12,21;19,43;29,95;17,14;10,7;2,75;0;3,6;5,41;13,34;19,27;24,55;22,77;6,86;4,2;0;0;0;4,08;6,12;18,37;38,78;20,41;10,2;2,04;0;2,04;2,04;14,29;22,45;28,57;12,24;14,29;4,08;0;0;0
Brasil;Privada;Rural;Interior;220,24;230,72;269,14;277,26;286,05;298,03;1,93;4,58;11,81;16,43;22,22;15,5;14,32;8,53;4,42;0,26;0,55;2,39;7,45;13,49;21,48;20,67;18,34;10,29;4,32;0,92;0,09;10,95;9,61;13,45;17,49;19,88;15,87;7,68;4,69;0,38;6,47;9,09;14,12;17,55;19,84;14,83;10,7;5,5;1,89;0;17,68;7,91;11,79;15,92;16,32;17,89;10,91;1,47;0,12;15,46;7,94;10,87;12,26;17,87;16,49;10,44;5,99;1,86;0,81;0
Brasil;Privada;Rural;Total;220;229,96;270,33;277,47;286,71;298,28;2,07;4,41;12,07;16,05;22,26;15,98;14,24;8,49;4,14;0,29;0,51;2,43;7,76;14,32;20,95;20,39;18,22;10,21;4,28;0,84;0,08;10,15;9,11;13,32;17,69;20,91;16;7,99;4,49;0,34;6,18;8,71;14,04;17,73;20,32;15,64;10,31;5,37;1,7;0;17,26;7,82;11,66;15,98;16,85;17,95;10,89;1,48;0,11;15,14;7,8;10,95;12,5;18,12;16,39;10,53;5,95;1,82;0,8;0
